campaign,zone,production_label,specie,production,yield_value,yield_unit
2020,ILE-DE-FRANCE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"75,6",quintal_per_hectare
2020,CENTRE-VAL DE LOIRE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"59,4",quintal_per_hectare
2020,BOURGOGNE-FRANCHE-COMTÉ,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"59,5",quintal_per_hectare
2020,NORMANDIE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"76,4",quintal_per_hectare
2020,HAUTS-DE-FRANCE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"87,7",quintal_per_hectare
2020,GRAND EST,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"78,5",quintal_per_hectare
2020,PAYS DE LA LOIRE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"55,7",quintal_per_hectare
2020,BRETAGNE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"67,8",quintal_per_hectare
2020,NOUVELLE AQUITAINE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"52,1",quintal_per_hectare
2020,OCCITANIE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"43,9",quintal_per_hectare
2020,AUVERGNE-RHÔNE-ALPES,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"55,7",quintal_per_hectare
2020,PACA,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"34,6",quintal_per_hectare
2020,CORSE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,35,quintal_per_hectare
2019,ILE-DE-FRANCE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"87,7",quintal_per_hectare
2019,CENTRE-VAL DE LOIRE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"76,1",quintal_per_hectare
2019,BOURGOGNE-FRANCHE-COMTÉ,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"69,7",quintal_per_hectare
2019,NORMANDIE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"89,7",quintal_per_hectare
2019,HAUTS-DE-FRANCE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"94,5",quintal_per_hectare
2019,GRAND EST,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"77,8",quintal_per_hectare
2019,PAYS DE LA LOIRE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,78,quintal_per_hectare
2019,BRETAGNE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"79,9",quintal_per_hectare
2019,NOUVELLE AQUITAINE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"74,2",quintal_per_hectare
2019,OCCITANIE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"61,2",quintal_per_hectare
2019,AUVERGNE-RHÔNE-ALPES,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"58,4",quintal_per_hectare
2019,PACA,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"34,4",quintal_per_hectare
2019,CORSE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,40,quintal_per_hectare
2018,ILE-DE-FRANCE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"76,6",quintal_per_hectare
2018,CENTRE-VAL DE LOIRE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,6",quintal_per_hectare
2018,BOURGOGNE-FRANCHE-COMTÉ,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"65,3",quintal_per_hectare
2018,NORMANDIE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"77,1",quintal_per_hectare
2018,HAUTS-DE-FRANCE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"84,6",quintal_per_hectare
2018,GRAND EST,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"73,5",quintal_per_hectare
2018,PAYS DE LA LOIRE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"62,1",quintal_per_hectare
2018,BRETAGNE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,1",quintal_per_hectare
2018,NOUVELLE AQUITAINE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"60,7",quintal_per_hectare
2018,OCCITANIE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"45,7",quintal_per_hectare
2018,AUVERGNE-RHÔNE-ALPES,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"59,3",quintal_per_hectare
2018,PACA,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"32,8",quintal_per_hectare
2018,CORSE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,35,quintal_per_hectare
2017,ILE-DE-FRANCE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"80,1",quintal_per_hectare
2017,CENTRE-VAL DE LOIRE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"71,7",quintal_per_hectare
2017,BOURGOGNE-FRANCHE-COMTÉ,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,3",quintal_per_hectare
2017,NORMANDIE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"84,3",quintal_per_hectare
2017,HAUTS-DE-FRANCE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"87,3",quintal_per_hectare
2017,GRAND EST,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"70,4",quintal_per_hectare
2017,PAYS DE LA LOIRE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"72,5",quintal_per_hectare
2017,BRETAGNE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,79,quintal_per_hectare
2017,NOUVELLE AQUITAINE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"63,3",quintal_per_hectare
2017,OCCITANIE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"55,9",quintal_per_hectare
2017,AUVERGNE-RHÔNE-ALPES,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"62,2",quintal_per_hectare
2017,PACA,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"34,9",quintal_per_hectare
2017,CORSE,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,35,quintal_per_hectare
2020,ILE-DE-FRANCE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"69,2",quintal_per_hectare
2020,CENTRE-VAL DE LOIRE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"64,8",quintal_per_hectare
2020,BOURGOGNE-FRANCHE-COMTÉ,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"43,7",quintal_per_hectare
2020,NORMANDIE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,50,quintal_per_hectare
2020,HAUTS-DE-FRANCE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"61,6",quintal_per_hectare
2020,GRAND EST,Blé dur d'hiver,triticum_durum,winter_hard_wheat,55,quintal_per_hectare
2020,PAYS DE LA LOIRE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"53,8",quintal_per_hectare
2020,BRETAGNE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"46,3",quintal_per_hectare
2020,NOUVELLE AQUITAINE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"54,4",quintal_per_hectare
2020,OCCITANIE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"40,4",quintal_per_hectare
2020,AUVERGNE-RHÔNE-ALPES,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"53,2",quintal_per_hectare
2020,PACA,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"35,1",quintal_per_hectare
2020,CORSE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,35,quintal_per_hectare
2019,ILE-DE-FRANCE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"71,5",quintal_per_hectare
2019,CENTRE-VAL DE LOIRE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"76,6",quintal_per_hectare
2019,BOURGOGNE-FRANCHE-COMTÉ,Blé dur d'hiver,triticum_durum,winter_hard_wheat,61,quintal_per_hectare
2019,NORMANDIE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,60,quintal_per_hectare
2019,HAUTS-DE-FRANCE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"68,9",quintal_per_hectare
2019,GRAND EST,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"47,8",quintal_per_hectare
2019,PAYS DE LA LOIRE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"76,2",quintal_per_hectare
2019,BRETAGNE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,51,quintal_per_hectare
2019,NOUVELLE AQUITAINE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"73,9",quintal_per_hectare
2019,OCCITANIE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"55,2",quintal_per_hectare
2019,AUVERGNE-RHÔNE-ALPES,Blé dur d'hiver,triticum_durum,winter_hard_wheat,54,quintal_per_hectare
2019,PACA,Blé dur d'hiver,triticum_durum,winter_hard_wheat,34,quintal_per_hectare
2019,CORSE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,40,quintal_per_hectare
2018,ILE-DE-FRANCE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"70,7",quintal_per_hectare
2018,CENTRE-VAL DE LOIRE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,69,quintal_per_hectare
2018,BOURGOGNE-FRANCHE-COMTÉ,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"61,2",quintal_per_hectare
2018,NORMANDIE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"57,1",quintal_per_hectare
2018,HAUTS-DE-FRANCE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"60,4",quintal_per_hectare
2018,GRAND EST,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"52,8",quintal_per_hectare
2018,PAYS DE LA LOIRE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"64,3",quintal_per_hectare
2018,BRETAGNE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,0,quintal_per_hectare
2018,NOUVELLE AQUITAINE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"58,8",quintal_per_hectare
2018,OCCITANIE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"37,8",quintal_per_hectare
2018,AUVERGNE-RHÔNE-ALPES,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"50,6",quintal_per_hectare
2018,PACA,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"33,7",quintal_per_hectare
2018,CORSE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,35,quintal_per_hectare
2017,ILE-DE-FRANCE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"65,4",quintal_per_hectare
2017,CENTRE-VAL DE LOIRE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"64,6",quintal_per_hectare
2017,BOURGOGNE-FRANCHE-COMTÉ,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"62,1",quintal_per_hectare
2017,NORMANDIE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"59,1",quintal_per_hectare
2017,HAUTS-DE-FRANCE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"60,4",quintal_per_hectare
2017,GRAND EST,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"59,5",quintal_per_hectare
2017,PAYS DE LA LOIRE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"65,8",quintal_per_hectare
2017,BRETAGNE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,0,quintal_per_hectare
2017,NOUVELLE AQUITAINE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"60,3",quintal_per_hectare
2017,OCCITANIE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,53,quintal_per_hectare
2017,AUVERGNE-RHÔNE-ALPES,Blé dur d'hiver,triticum_durum,winter_hard_wheat,62,quintal_per_hectare
2017,PACA,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"43,1",quintal_per_hectare
2017,CORSE,Blé dur d'hiver,triticum_durum,winter_hard_wheat,35,quintal_per_hectare
2020,ILE-DE-FRANCE,Colza d'hiver,brassica_napus_napus,winter_rape,"33,8",quintal_per_hectare
2020,CENTRE-VAL DE LOIRE,Colza d'hiver,brassica_napus_napus,winter_rape,"29,8",quintal_per_hectare
2020,BOURGOGNE-FRANCHE-COMTÉ,Colza d'hiver,brassica_napus_napus,winter_rape,"28,6",quintal_per_hectare
2020,NORMANDIE,Colza d'hiver,brassica_napus_napus,winter_rape,"29,4",quintal_per_hectare
2020,HAUTS-DE-FRANCE,Colza d'hiver,brassica_napus_napus,winter_rape,"33,8",quintal_per_hectare
2020,GRAND EST,Colza d'hiver,brassica_napus_napus,winter_rape,"27,6",quintal_per_hectare
2020,PAYS DE LA LOIRE,Colza d'hiver,brassica_napus_napus,winter_rape,"27,1",quintal_per_hectare
2020,BRETAGNE,Colza d'hiver,brassica_napus_napus,winter_rape,"27,5",quintal_per_hectare
2020,NOUVELLE AQUITAINE,Colza d'hiver,brassica_napus_napus,winter_rape,"27,9",quintal_per_hectare
2020,OCCITANIE,Colza d'hiver,brassica_napus_napus,winter_rape,"22,5",quintal_per_hectare
2020,AUVERGNE-RHÔNE-ALPES,Colza d'hiver,brassica_napus_napus,winter_rape,"27,3",quintal_per_hectare
2020,PACA,Colza d'hiver,brassica_napus_napus,winter_rape,"18,2",quintal_per_hectare
2020,CORSE,Colza d'hiver,brassica_napus_napus,winter_rape,0,quintal_per_hectare
2019,ILE-DE-FRANCE,Colza d'hiver,brassica_napus_napus,winter_rape,"30,6",quintal_per_hectare
2019,CENTRE-VAL DE LOIRE,Colza d'hiver,brassica_napus_napus,winter_rape,"31,2",quintal_per_hectare
2019,BOURGOGNE-FRANCHE-COMTÉ,Colza d'hiver,brassica_napus_napus,winter_rape,27,quintal_per_hectare
2019,NORMANDIE,Colza d'hiver,brassica_napus_napus,winter_rape,"34,9",quintal_per_hectare
2019,HAUTS-DE-FRANCE,Colza d'hiver,brassica_napus_napus,winter_rape,"36,8",quintal_per_hectare
2019,GRAND EST,Colza d'hiver,brassica_napus_napus,winter_rape,"29,9",quintal_per_hectare
2019,PAYS DE LA LOIRE,Colza d'hiver,brassica_napus_napus,winter_rape,"32,7",quintal_per_hectare
2019,BRETAGNE,Colza d'hiver,brassica_napus_napus,winter_rape,"36,3",quintal_per_hectare
2019,NOUVELLE AQUITAINE,Colza d'hiver,brassica_napus_napus,winter_rape,30,quintal_per_hectare
2019,OCCITANIE,Colza d'hiver,brassica_napus_napus,winter_rape,"27,9",quintal_per_hectare
2019,AUVERGNE-RHÔNE-ALPES,Colza d'hiver,brassica_napus_napus,winter_rape,"26,8",quintal_per_hectare
2019,PACA,Colza d'hiver,brassica_napus_napus,winter_rape,"15,9",quintal_per_hectare
2019,CORSE,Colza d'hiver,brassica_napus_napus,winter_rape,0,quintal_per_hectare
2018,ILE-DE-FRANCE,Colza d'hiver,brassica_napus_napus,winter_rape,"33,8",quintal_per_hectare
2018,CENTRE-VAL DE LOIRE,Colza d'hiver,brassica_napus_napus,winter_rape,"30,6",quintal_per_hectare
2018,BOURGOGNE-FRANCHE-COMTÉ,Colza d'hiver,brassica_napus_napus,winter_rape,"30,5",quintal_per_hectare
2018,NORMANDIE,Colza d'hiver,brassica_napus_napus,winter_rape,"32,8",quintal_per_hectare
2018,HAUTS-DE-FRANCE,Colza d'hiver,brassica_napus_napus,winter_rape,"36,2",quintal_per_hectare
2018,GRAND EST,Colza d'hiver,brassica_napus_napus,winter_rape,"31,6",quintal_per_hectare
2018,PAYS DE LA LOIRE,Colza d'hiver,brassica_napus_napus,winter_rape,26,quintal_per_hectare
2018,BRETAGNE,Colza d'hiver,brassica_napus_napus,winter_rape,34,quintal_per_hectare
2018,NOUVELLE AQUITAINE,Colza d'hiver,brassica_napus_napus,winter_rape,"24,7",quintal_per_hectare
2018,OCCITANIE,Colza d'hiver,brassica_napus_napus,winter_rape,25,quintal_per_hectare
2018,AUVERGNE-RHÔNE-ALPES,Colza d'hiver,brassica_napus_napus,winter_rape,"31,4",quintal_per_hectare
2018,PACA,Colza d'hiver,brassica_napus_napus,winter_rape,"21,6",quintal_per_hectare
2018,CORSE,Colza d'hiver,brassica_napus_napus,winter_rape,0,quintal_per_hectare
2017,ILE-DE-FRANCE,Colza d'hiver,brassica_napus_napus,winter_rape,"41,1",quintal_per_hectare
2017,CENTRE-VAL DE LOIRE,Colza d'hiver,brassica_napus_napus,winter_rape,"36,8",quintal_per_hectare
2017,BOURGOGNE-FRANCHE-COMTÉ,Colza d'hiver,brassica_napus_napus,winter_rape,"37,6",quintal_per_hectare
2017,NORMANDIE,Colza d'hiver,brassica_napus_napus,winter_rape,"40,7",quintal_per_hectare
2017,HAUTS-DE-FRANCE,Colza d'hiver,brassica_napus_napus,winter_rape,"43,2",quintal_per_hectare
2017,GRAND EST,Colza d'hiver,brassica_napus_napus,winter_rape,"37,5",quintal_per_hectare
2017,PAYS DE LA LOIRE,Colza d'hiver,brassica_napus_napus,winter_rape,"39,2",quintal_per_hectare
2017,BRETAGNE,Colza d'hiver,brassica_napus_napus,winter_rape,"39,8",quintal_per_hectare
2017,NOUVELLE AQUITAINE,Colza d'hiver,brassica_napus_napus,winter_rape,33,quintal_per_hectare
2017,OCCITANIE,Colza d'hiver,brassica_napus_napus,winter_rape,28,quintal_per_hectare
2017,AUVERGNE-RHÔNE-ALPES,Colza d'hiver,brassica_napus_napus,winter_rape,36,quintal_per_hectare
2017,PACA,Colza d'hiver,brassica_napus_napus,winter_rape,"21,4",quintal_per_hectare
2017,CORSE,Colza d'hiver,brassica_napus_napus,winter_rape,0,quintal_per_hectare
2020,ILE-DE-FRANCE,Avoine d'hiver,avena_sativa,winter_oat,50,quintal_per_hectare
2020,CENTRE-VAL DE LOIRE,Avoine d'hiver,avena_sativa,winter_oat,"36,5",quintal_per_hectare
2020,BOURGOGNE-FRANCHE-COMTÉ,Avoine d'hiver,avena_sativa,winter_oat,"31,2",quintal_per_hectare
2020,NORMANDIE,Avoine d'hiver,avena_sativa,winter_oat,"50,6",quintal_per_hectare
2020,HAUTS-DE-FRANCE,Avoine d'hiver,avena_sativa,winter_oat,"60,4",quintal_per_hectare
2020,GRAND EST,Avoine d'hiver,avena_sativa,winter_oat,"40,8",quintal_per_hectare
2020,PAYS DE LA LOIRE,Avoine d'hiver,avena_sativa,winter_oat,"38,5",quintal_per_hectare
2020,BRETAGNE,Avoine d'hiver,avena_sativa,winter_oat,"50,2",quintal_per_hectare
2020,NOUVELLE AQUITAINE,Avoine d'hiver,avena_sativa,winter_oat,"33,5",quintal_per_hectare
2020,OCCITANIE,Avoine d'hiver,avena_sativa,winter_oat,31,quintal_per_hectare
2020,AUVERGNE-RHÔNE-ALPES,Avoine d'hiver,avena_sativa,winter_oat,"32,6",quintal_per_hectare
2020,PACA,Avoine d'hiver,avena_sativa,winter_oat,25,quintal_per_hectare
2020,CORSE,Avoine d'hiver,avena_sativa,winter_oat,30,quintal_per_hectare
2019,ILE-DE-FRANCE,Avoine d'hiver,avena_sativa,winter_oat,62,quintal_per_hectare
2019,CENTRE-VAL DE LOIRE,Avoine d'hiver,avena_sativa,winter_oat,"49,1",quintal_per_hectare
